Community Area,Counts,Year
60,1435,2019
48,1408,2019
54,1387,2019
39,1358,2019
17,1330,2019
20,1290,2019
45,1279,2019
5,1234,2019
50,1156,2019
10,1130,2019
34,1014,2019
52,998,2019
11,959,2019
64,929,2019
72,908,2019
37,900,2019
62,897,2019
59,823,2019
57,801,2019
13,788,2019
36,625,2019
18,548,2019
55,492,2019
74,464,2019
12,449,2019
47,371,2019
9,264,2019
25,14898,2018
8,12758,2018
32,10619,2018
29,9204,2018
28,9198,2018
43,8539,2018
23,7951,2018
71,7272,2018
24,7116,2018
67,7010,2018
49,6818,2018
44,6431,2018
69,6280,2018
68,6159,2018
6,5770,2018
66,5621,2018
26,5611,2018
7,4889,2018
27,4864,2018
22,4789,2018
30,4497,2018
19,4311,2018
46,4266,2018
61,4172,2018
53,4001,2018
1,3737,2018
3,3558,2018
2,3466,2018
42,3430,2018
38,3177,2018
15,3148,2018
73,3130,2018
16,2781,2018
40,2774,2018
77,2707,2018
35,2662,2018
14,2374,2018
70,2363,2018
31,2342,2018
21,2295,2018
58,2155,2018
75,2098,2018
56,2055,2018
63,2046,2018
41,1911,2018
4,1898,2018
33,1779,2018
65,1760,2018
51,1727,2018
76,1569,2018
60,1485,2018
17,1481,2018
39,1428,2018
20,1384,2018
48,1361,2018
54,1339,2018
5,1283,2018
50,1191,2018
10,1145,2018
45,1136,2018
52,1086,2018
11,1076,2018
62,1006,2018
34,991,2018
13,983,2018
64,941,2018
59,896,2018
72,886,2018
37,828,2018
57,813,2018
36,633,2018
55,613,2018
18,590,2018
74,552,2018
12,483,2018
47,379,2018
9,246,2018
25,12568,2020
43,7708,2020
8,7064,2020
29,7029,2020
23,6539,2020
28,6318,2020
71,6138,2020
49,5885,2020
69,5875,2020
67,5628,2020
44,5371,2020
68,5098,2020
24,5069,2020
32,4964,2020
26,4908,2020
66,4822,2020
6,4074,2020
53,3800,2020
19,3719,2020
27,3690,2020
22,3630,2020
30,3544,2020
61,3532,2020
46,3335,2020
1,3177,2020
2,3024,2020
38,2873,2020
42,2869,2020
3,2836,2020
7,2718,2020
73,2611,2020
15,2557,2020
77,2223,2020
35,2135,2020
16,2121,2020
31,1984,2020
14,1972,2020
40,1929,2020
70,1854,2020
4,1809,2020
21,1770,2020
58,1756,2020
63,1707,2020
75,1653,2020
51,1614,2020
33,1539,2020
56,1515,2020
41,1405,2020
17,1320,2020
60,1253,2020
48,1247,2020
65,1238,2020
45,1185,2020
39,1175,2020
20,1163,2020
76,1129,2020
5,1094,2020
54,1057,2020
10,985,2020
11,969,2020
52,936,2020
50,909,2020
34,835,2020
64,833,2020
72,827,2020
13,751,2020
59,731,2020
62,715,2020
37,672,2020
57,672,2020
36,606,2020
18,553,2020
12,533,2020
74,500,2020
55,496,2020
47,337,2020
9,243,2020
25,11366,2021
8,8027,2021
43,7281,2021
28,6676,2021
29,6183,2021
71,5895,2021
23,5770,2021
69,5554,2021
24,5420,2021
32,5311,2021
49,5261,2021
44,5256,2021
67,4858,2021
68,4642,2021
66,4541,2021
6,4538,2021
26,4063,2021
46,3613,2021
19,3558,2021
27,3541,2021
61,3478,2021
22,3477,2021
53,3472,2021
1,3275,2021
30,3239,2021
3,3067,2021
2,2909,2021
7,2820,2021
42,2790,2021
38,2716,2021
73,2488,2021
15,2470,2021
77,2359,2021
35,2217,2021
16,2173,2021
31,2152,2021
40,1906,2021
14,1805,2021
58,1759,2021
70,1754,2021
33,1733,2021
75,1706,2021
63,1646,2021
